Palabra_Clave_Oficial,Sinonimos_Equivalentes
alegria,"alborozo,algazara,animacion,contento,diversion,entretenimiento,entusiasmo,esparcimiento,felicidad,gozo,hilaridad,jubilo,regocijo,regodeo,risa,satisfaccion,placer,gusto,agrado,deleite,delicia,ilusion,alegre,feliz,dichoso,gozoso,contento,animado,entusiasmado,triunfando,gozandola,vacilando,vacilon,fino,tripeando,tripeo,animado,prendido,emocionado,reventado,satisfecho,ennotado,desatado,chocho,alborotado"
tristeza,"pena,melancolia,afliccion,pesar,pesadumbre,dolor,duelo,desgracia,disgusto,miseria,desesperacion,desanimo,desaliento,depresion,pesimismo,nostalgia,lobreguez,infelicidad,desolacion,descontento,desconsuelo,abatimiento,sufrimiento,morrina,mohina,consternacion,angustia,lastima,triste,deprimido,abatido,melancolico,desanimado,apenado,despechado,despecho,achicopalado,aguitado,ladillado,bajado,depre,ponchado,chocado,derrotado,apagado,cabizbajo,desmoralizado,cabizbajo"
miedo,"temor,terror,pavor,panico,espanto,horror,alarma,susto,sobresalto,recelo,aprension,desconfianza,turbacion,sorpresa,asombro,desasosiego,cobardia,inquietud,zozobra,preocupacion,asustado,espantado,atemorizado,angustiado,nervioso,asustado,cagado,culillo,culilluo,asustao,frio,palanqueado,asustadito,sugestionado,cagandose,asustado"
ira,"colera,furia,furor,exasperacion,irritacion,coraje,enojo,rabia,enfado,indignacion,odio,rencor,hostilidad,animadversion,ira,enojado,furioso,irritado,indignado,encolerizado,arrecho,arrechera,picao,picado,molesto,encendido,picon,emputado,caliente,sulfurado,rabioso,alterado,cruzado"
asco,"repugnancia,repulsion,aversion,aborrecimiento,antipatia,desagrado,tirria,mania,nausea,asquerosidad,hastio,odio,revoltura,empalago,grima,desapego,disgusto,repugnado,asqueado,repulsivo,guacala,fo,asqueroso,repugnante,hediondo,asqueado,asqueao,pujado,nauseabundo"
sorpresa,"asombro,admiracion,pasmo,extraneza,fascinacion,impresion,desconcierto,conmocion,estupefaccion,estupor,confusion,maravilla,deslumbramiento,embebecimiento,sobrecogimiento,susto,sobresalto,consternacion,sorprendido,asombrado,extrañado,maravillado,epale,cono,guao,loco,quedado,bobo,sorprendido,perplejo,flipado,impactado,asombrado"
